,scenario_id,roaduser_id,strategy,max_speed
0,1,v17,1,2.961000499238561
1,2,v22,1,3.4638987195379567
2,3,v23,1,3.0766741338175367
3,4,v23,1,3.0766741338175367
4,5,v25,1,2.7486233109461318
5,6,v25,1,2.7486233109461318
6,7,v25,1,2.7486233109461318
7,8,v6,1,4.886051196940277
8,9,v28,1,2.884718312824325
9,9,v29,1,2.870397507186764
10,10,v31,1,2.3750564022278557
11,11,v31,1,2.3750564022278557
12,12,v33,1,2.3019187840279884
13,12,v34,1,2.4489787812312374
14,13,v10,1,2.9390518605306086
15,14,v34,1,2.4489787812312374
16,15,v13,1,1.9727189348308176
17,16,v13,1,1.9727189348308176
18,16,v14,1,2.5422551726008
19,17,v14,1,2.5422551726008
20,18,v36,1,4.5172622990160445
21,19,v37,1,2.800071702765948
22,20,v37,1,2.800071702765948
23,21,v38,1,3.4030131423777057
24,22,v38,1,3.4030131423777057
25,23,v38,1,3.4030131423777057
26,24,v38,1,3.4030131423777057
27,25,v15,1,4.58133217432574
28,26,v39,1,3.0498785064312237
29,27,v16,1,3.681532609680025
30,28,v40,1,1.725115698949378
31,29,v41,1,2.4250643666297664
32,30,v68,1,2.365795782134314
33,31,v69,1,2.789486474185264
34,32,v45,1,2.0927612571116976
35,33,v49,1,2.984524148018826
36,34,v51,1,1.981082100746606
37,35,v51,1,1.981082100746606
38,36,v73,1,3.364541485294413
39,37,v74,1,3.025631461998358
40,38,v74,1,3.025631461998358
41,38,v75,1,3.3438692252402715
42,39,v74,1,3.025631461998358
43,40,v77,1,3.6571686791739104
44,41,v52,1,3.811716759053868
45,42,v301,1,2.752431671600109
46,43,v53,1,3.824219458322752
47,44,v55,1,3.8591260303631136
48,45,v55,1,3.8591260303631136
49,46,v84,1,1.9426590637147885
50,46,v330,1,1.0286876098993891
51,47,v57,1,4.435580395933175
52,48,v84,1,1.9426590637147885
53,49,v87,1,2.3395371795910807
54,50,v58,1,3.3585970812793327
55,51,v89,1,4.5544703327857565
56,52,v61,1,3.928288696409035
57,52,v62,1,3.9307169016018935
58,53,v64,1,2.9895475005376535
59,54,v65,1,4.975885706355133
60,55,v90,1,3.5514103208917485
61,56,v59,1,3.9274627866430682
62,57,v91,1,2.2243835865168875
63,58,v78,1,2.8242708097393843
64,59,v85,1,3.2956095954813796
65,60,v57,1,4.435580395933175
66,61,v89,1,4.5544703327857565
67,62,v87,1,2.3395371795910807
68,63,v116,1,3.0273524586439438
69,64,v119,1,6.2736389789523255
70,65,v121,1,4.3960308391165315
71,66,v122,1,5.269218083513931
72,67,v96,1,2.5057999584581423
73,68,v96,1,2.5057999584581423
74,69,v308,1,1.341910655933884
75,70,v126,1,3.846230947732472
76,70,v127,1,2.336304518884647
77,71,v97,1,1.5856504361965813
78,71,v98,1,1.7143221068777112
79,72,v127,1,2.336304518884647
80,73,v128,1,2.2777434975818704
81,73,v129,1,2.444026671634266
82,74,v99,1,3.7954711575356233
83,75,v128,1,2.2777434975818704
84,75,v129,1,2.444026671634266
85,76,v101,1,3.9683667498617567
86,77,v104,1,2.353909665076704
87,78,v103,1,3.095758778630835
88,79,v104,1,2.353909665076704
89,80,v106,1,3.5437464747608165
90,81,v313,1,2.518877665866561
91,82,v131,1,3.662903321540495
92,82,v132,1,3.9599074488387047
93,82,v133,1,4.7811031672405075
94,82,v134,1,4.200547291704718
95,83,v109,1,3.8108097708088366
96,84,v302,1,2.329610471267378
97,85,v138,1,4.498363191209238
98,86,v111,1,3.0084623428698127
99,87,v104,1,2.353909665076704
100,88,v94,1,4.6245390105600865
101,89,v96,1,2.5057999584581423
102,90,v109,1,3.8108097708088366
103,91,v121,1,4.3960308391165315
104,92,v100,1,5.136736423370238
105,93,v140,1,2.093648255177301
106,94,v112,1,3.457626273959156
107,96,v10,1,2.9390518605306086
108,96,v34,1,2.4489787812312374
109,97,v40,1,1.725115698949378
110,97,v68,1,2.365795782134314
111,98,v40,1,1.725115698949378
112,98,v67,1,6.465281970250822
113,99,v45,1,2.0927612571116976
114,99,v68,1,2.365795782134314
115,100,v80,1,3.592673515129609
116,100,v301,1,2.752431671600109
117,101,v93,1,3.984229573342237
118,101,v121,1,4.3960308391165315
119,102,v97,1,1.5856504361965813
120,102,v127,1,2.336304518884647
121,102,v128,1,2.2777434975818704
122,103,v199,1,3.2624989287314192
123,103,v229,1,2.3150592758641864
124,104,v212,1,2.190764035706694
125,104,v243,1,3.07736304200266
